EnglishWord	ArabicWord	Letters	Arabish
Airport	مطار	s23 m15 m0 e9	Matar
Apple	تفاحة	s2 m19 m0 s5 e25	Tufaha
Army	جيش	s4 m27 e12	Jaish
Baby	طفل	s15 m19 e22	Tofil
Balloon	بالونة	s1 m0 s22 m26 s24 e25	Balona
Banana	موز	s23 m26 e10	Mouz
Bee	نحلة	s24 m5 m22 e25	Nahla
Bomb	قنبلة	s20 m24 m1 m22 e25	Qunbila
Book	كتاب	s21 m2 m0 a1	Kitab
Box	صندوق	s13 m24 m7 s26 a20	Sandoug
Bridge	جسر	s4 m11 e9	Jesir
Butterfly	فراشة	s19 m9 m0 s12 e25	Farasha
Button	زر	s10 m9	Zur
Car	سيارة	s11 m27 m0 s9 a25	Sayara
Carrot	جزر	s4 m10 a9	Jazara
Cave	كهف	s21 m25 e19	Kahf
Chair	كرسي	s21 m10 s11 e27	Kirsi
Chocolates	شوكولاتة	s12 m26 s21 m26 s22 m0 s2 e25	Shokolata
Clock	ساعة	s11 m0 m17 e25	Sa'a
Clown	مهرج	s23 m25 m9 a4	Muharej
Coffee	قهوة	s20 m25 m26 a25	Gahwa
Compass	بوصلة	s1 m26 s13 m22 e26	Busala
Computer	كومبيوتر	s21 m26 s23 m1 m27 m26 s2 e9	Computer
Cup	كوب	s21 m26 a1	Koob
Desk	مكتب	s23 m21 m2 e1	Maktab
Dress	فستان	s19 m11 m2 m0 a24	Fustan
Drum	طبل	s15 m1 e22	Tabil
Earth	أرض	s0 m9 a14	Arth
Egg	بيضة	s1 m27 m14 e25	Baitha
Elephant	فيل	s19 m27 e22	Feel
Eyes	عيون	s17 m27 m26 a24	Oyoun
Feather	ريشة	s9 m27 m12 e25	Resha
Film	فيلم	s19 m27 m22 e23	Film
Fire	حريق	s5 m9 s27 e20	Hareeq
Flower	زهرة	s10 s25 m9 a25	Zahra
Foot	قدم	s20 m7 a23	Qadam
Fruit	فاكهة	s19 m0 s21 m25 e25	Fakiha
Game	لعبة	s22 m17 m1 e25	Li'eba
Garden	حديقة	s5 m7 s27 m20 e 25	Hadeqa
Grapes	عنب	s17 m24 e1	Anab
Hat	قبعة	s20 m1 m17 e25	Quba'a
Horse	حصان	s5 m13 m0 a24	Hisan